DEBUG ICMS ST - SIMPLES

PRODUTO: 00000000001863 | BC_ST: 275.64 | BC_ICMS: 148.78 | QTD: 11.0 | QTD_UTIL: 11.0 | BASE_PROP: 126.85999999999999 | ALIQ: 18.0 | CREDITO: 22.834799999999998
PRODUTO: 00000000002192 | BC_ST: 10.46 | BC_ICMS: 5.05 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 5.410000000000001 | ALIQ: 25.0 | CREDITO: 1.3525000000000003
PRODUTO: 00000000002239 | BC_ST: 15.1 | BC_ICMS: 8.13 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 6.969999999999999 | ALIQ: 18.0 | CREDITO: 1.2545999999999997
PRODUTO: 00000000002240 | BC_ST: 9.26 | BC_ICMS: 5.45 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 3.8099999999999996 | ALIQ: 18.0 | CREDITO: 0.6857999999999999
PRODUTO: 00000000002252 | BC_ST: 9.72 | BC_ICMS: 5.23 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 4.49 | ALIQ: 18.0 | CREDITO: 0.8082
PRODUTO: 00000000002258 | BC_ST: 9.77 | BC_ICMS: 5.75 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 4.02 | ALIQ: 18.0 | CREDITO: 0.7235999999999999
PRODUTO: 00000000002259 | BC_ST: 11.92 | BC_ICMS: 7.02 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 4.9 | ALIQ: 18.0 | CREDITO: 0.882
PRODUTO: 00000000002274 | BC_ST: 10.02 | BC_ICMS: 5.9 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 4.119999999999999 | ALIQ: 18.0 | CREDITO: 0.7415999999999998
PRODUTO: 00000000002276 | BC_ST: 11.18 | BC_ICMS: 6.02 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 5.16 | ALIQ: 18.0 | CREDITO: 0.9288
PRODUTO: 00000000002483 | BC_ST: 6.95 | BC_ICMS: 3.24 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 3.71 | ALIQ: 25.0 | CREDITO: 0.9275
